"Ingredient ID","Ingredient Name","Category","Vendor","Supplier Contact","Supplier Reference","Purchase Frequency","Order Day","Expected Delivery Day","Lead Time Days","Purchase Price ex GST","Base Quantity","Base Unit","MOQ","GST %"
"ING-001","Coffee Beans","Coffee","","","","","","","","","","g","",""
"ING-002","Milk","Dairy","","","","","","","","","","ml","",""
"ING-003","Water","Utility","","","","","","","","","","ml","",""
"ING-004","Matcha Powder","Tea","","","","","","","","","","g","",""
"ING-005","Tea Leaves","Tea","","","","","","","","","","g","",""
"ING-006","Blue Pea Brew Bag","Floral","","","","","","","","","","g","",""
"ING-007","Hibiscus Brew Bag","Floral","","","","","","","","","","g","",""
"ING-008","Vanilla Syrup","Syrup","","","","","","","","","","ml","",""
"ING-009","Strawberry Crush","Syrup","","","","","","","","","","ml","",""
"ING-010","Lemon Juice","Fresh","","","","","","","","","","ml","",""
"ING-011","Peach Syrup","Syrup","","","","","","","","","","ml","",""
"ING-012","Sugar","Pantry","","","","","","","","","","g","",""
"ING-013","Cream","Dairy","","","","","","","","","","ml","",""
"ING-014","Soda / Tonic","Beverage","","","","","","","","","","ml","",""
"ING-015","Ice","Utility","","","","","","","","","","g","",""
"ING-016","Spice Blend","Pantry","","","","","","","","","","g","",""
